year,day,season,day.type,pod
1979,53,winter,days.after.sept.30,J
1980,83,winter,days.after.sept.31,J
1981,84,winter,days.after.sept.32,J
1982,76,winter,days.after.sept.33,J
1983,47,winter,days.after.sept.34,J
1984,83,winter,days.after.sept.35,J
1985,78,winter,days.after.sept.36,J
1986,84,winter,days.after.sept.37,J
1987,101,winter,days.after.sept.38,J
1988,98,winter,days.after.sept.39,J
1989,52,winter,days.after.sept.40,J
1990,84,winter,days.after.sept.41,J
1991,85,winter,days.after.sept.42,J
1992,62,winter,days.after.sept.43,J
1993,65,winter,days.after.sept.44,J
1994,85,winter,days.after.sept.45,J
1995,61,winter,days.after.sept.46,J
1996,120,winter,days.after.sept.47,J
1997,57,winter,days.after.sept.48,J
1998,88,winter,days.after.sept.49,J
1999,141,winter,days.after.sept.50,J
2000,17,winter,days.after.sept.51,J
2001,118,winter,days.after.sept.52,J
2002,80,winter,days.after.sept.53,J
2003,79,winter,days.after.sept.54,J
2004,68,winter,days.after.sept.55,J
2005,61,winter,days.after.sept.56,J
2006,66,winter,days.after.sept.57,J
2007,24,winter,days.after.sept.58,J
2008,61,winter,days.after.sept.59,J
2009,92,winter,days.after.sept.60,J
2010,70,winter,days.after.sept.61,J
2011,26,winter,days.after.sept.62,J
2012,148,winter,days.after.sept.63,J
2013,47,winter,days.after.sept.64,J
2014,95,winter,days.after.sept.65,J
2015,10,winter,days.after.sept.66,J
2016,106,winter,days.after.sept.67,J
2017,80,winter,days.after.sept.68,J
2018,11,winter,days.after.sept.69,J
1979,130,summer,doy,J
1980,158,summer,doy,J
1981,150,summer,doy,J
1982,165,summer,doy,J
1983,144,summer,doy,J
1984,225,summer,doy,J
1985,252,summer,doy,J
1986,252,summer,doy,J
1987,169,summer,doy,J
1988,196,summer,doy,J
1989,249,summer,doy,J
1990,152,summer,doy,J
1991,179,summer,doy,J
1992,249,summer,doy,J
1993,248,summer,doy,J
1994,149,summer,doy,J
1995,187,summer,doy,J
1996,137,summer,doy,J
1997,125,summer,doy,J
1998,260,summer,doy,J
1999,273,summer,doy,J
2000,173,summer,doy,J
2001,124,summer,doy,J
2002,136,summer,doy,J
2003,141,summer,doy,J
2004,126,summer,doy,J
2005,185,summer,doy,J
2006,140,summer,doy,J
2007,132,summer,doy,J
2008,127,summer,doy,J
2009,126,summer,doy,J
2010,176,summer,doy,J
2011,195,summer,doy,J
2012,231,summer,doy,J
2013,138,summer,doy,J
2014,144,summer,doy,J
2015,144,summer,doy,J
2016,179,summer,doy,J
2017,127,summer,doy,J
1979,69,winter,days.after.sept.30,K
1980,79,winter,days.after.sept.31,K
1981,79,winter,days.after.sept.32,K
1982,76,winter,days.after.sept.33,K
1983,53,winter,days.after.sept.34,K
1984,78,winter,days.after.sept.35,K
1985,78,winter,days.after.sept.36,K
1986,79,winter,days.after.sept.37,K
1987,75,winter,days.after.sept.38,K
1988,76,winter,days.after.sept.39,K
1989,75,winter,days.after.sept.40,K
1990,123,winter,days.after.sept.41,K
1991,79,winter,days.after.sept.42,K
1992,92,winter,days.after.sept.43,K
1993,79,winter,days.after.sept.44,K
1994,76,winter,days.after.sept.45,K
1995,77,winter,days.after.sept.46,K
1996,76,winter,days.after.sept.47,K
1997,71,winter,days.after.sept.48,K
1998,57,winter,days.after.sept.49,K
1999,37,winter,days.after.sept.50,K
2000,38,winter,days.after.sept.51,K
2001,45,winter,days.after.sept.52,K
2002,43,winter,days.after.sept.53,K
2003,73,winter,days.after.sept.54,K
2004,75,winter,days.after.sept.55,K
2005,68,winter,days.after.sept.56,K
2006,66,winter,days.after.sept.57,K
2007,69,winter,days.after.sept.58,K
2008,80,winter,days.after.sept.59,K
2009,42,winter,days.after.sept.60,K
2010,32,winter,days.after.sept.61,K
2011,124,winter,days.after.sept.62,K
2012,NaN,winter,days.after.sept.63,K
2013,44,winter,days.after.sept.64,K
2014,94,winter,days.after.sept.65,K
2015,64,winter,days.after.sept.66,K
2016,93,winter,days.after.sept.67,K
2017,36,winter,days.after.sept.68,K
2018,118,winter,days.after.sept.69,K
1979,202,summer,doy,K
1980,208,summer,doy,K
1981,208,summer,doy,K
1982,222,summer,doy,K
1983,230,summer,doy,K
1984,188,summer,doy,K
1985,180,summer,doy,K
1986,161,summer,doy,K
1987,180,summer,doy,K
1988,169,summer,doy,K
1989,180,summer,doy,K
1990,192,summer,doy,K
1991,172,summer,doy,K
1992,235,summer,doy,K
1993,252,summer,doy,K
1994,172,summer,doy,K
1995,183,summer,doy,K
1996,176,summer,doy,K
1997,152,summer,doy,K
1998,260,summer,doy,K
1999,NaN,summer,doy,K
2000,191,summer,doy,K
2001,157,summer,doy,K
2002,193,summer,doy,K
2003,202,summer,doy,K
2004,257,summer,doy,K
2005,251,summer,doy,K
2006,221,summer,doy,K
2007,225,summer,doy,K
2008,187,summer,doy,K
2009,184,summer,doy,K
2010,203,summer,doy,K
2011,255,summer,doy,K
2012,231,summer,doy,K
2013,204,summer,doy,K
2014,193,summer,doy,K
2015,194,summer,doy,K
2016,231,summer,doy,K
2017,178,summer,doy,K
1979,69,winter,days.after.sept.30,L
1980,79,winter,days.after.sept.31,L
1981,77,winter,days.after.sept.32,L
1982,75,winter,days.after.sept.33,L
1983,53,winter,days.after.sept.34,L
1984,77,winter,days.after.sept.35,L
1985,78,winter,days.after.sept.36,L
1986,80,winter,days.after.sept.37,L
1987,78,winter,days.after.sept.38,L
1988,76,winter,days.after.sept.39,L
1989,73,winter,days.after.sept.40,L
1990,81,winter,days.after.sept.41,L
1991,79,winter,days.after.sept.42,L
1992,81,winter,days.after.sept.43,L
1993,79,winter,days.after.sept.44,L
1994,76,winter,days.after.sept.45,L
1995,75,winter,days.after.sept.46,L
1996,76,winter,days.after.sept.47,L
1997,71,winter,days.after.sept.48,L
1998,39,winter,days.after.sept.49,L
1999,21,winter,days.after.sept.50,L
2000,88,winter,days.after.sept.51,L
2001,120,winter,days.after.sept.52,L
2002,31,winter,days.after.sept.53,L
2003,68,winter,days.after.sept.54,L
2004,62,winter,days.after.sept.55,L
2005,23,winter,days.after.sept.56,L
2006,25,winter,days.after.sept.57,L
2007,44,winter,days.after.sept.58,L
2008,61,winter,days.after.sept.59,L
2009,139,winter,days.after.sept.60,L
2010,29,winter,days.after.sept.61,L
2011,89,winter,days.after.sept.62,L
2012,127,winter,days.after.sept.63,L
2013,31,winter,days.after.sept.64,L
2014,23,winter,days.after.sept.65,L
2015,6,winter,days.after.sept.66,L
2016,41,winter,days.after.sept.67,L
2017,67,winter,days.after.sept.68,L
2018,11,winter,days.after.sept.69,L
1979,201,summer,doy,L
1980,258,summer,doy,L
1981,217,summer,doy,L
1982,218,summer,doy,L
1983,250,summer,doy,L
1984,215,summer,doy,L
1985,221,summer,doy,L
1986,246,summer,doy,L
1987,226,summer,doy,L
1988,208,summer,doy,L
1989,199,summer,doy,L
1990,188,summer,doy,L
1991,209,summer,doy,L
1992,217,summer,doy,L
1993,222,summer,doy,L
1994,226,summer,doy,L
1995,207,summer,doy,L
1996,259,summer,doy,L
1997,220,summer,doy,L
1998,248,summer,doy,L
1999,237,summer,doy,L
2000,255,summer,doy,L
2001,NaN,summer,doy,L
2002,251,summer,doy,L
2003,246,summer,doy,L
2004,239,summer,doy,L
2005,223,summer,doy,L
2006,238,summer,doy,L
2007,246,summer,doy,L
2008,228,summer,doy,L
2009,167,summer,doy,L
2010,141,summer,doy,L
2011,252,summer,doy,L
2012,255,summer,doy,L
2013,179,summer,doy,L
2014,177,summer,doy,L
2015,202,summer,doy,L
2016,186,summer,doy,L
2017,198,summer,doy,L
1979,153,summer,doy,ALL
1980,184,summer,doy,ALL
1981,152,summer,doy,ALL
1982,205,summer,doy,ALL
1983,208,summer,doy,ALL
1984,181,summer,doy,ALL
1985,178,summer,doy,ALL
1986,172,summer,doy,ALL
1987,210,summer,doy,ALL
1988,164,summer,doy,ALL
1989,163,summer,doy,ALL
1990,221,summer,doy,ALL
1991,179,summer,doy,ALL
1992,237,summer,doy,ALL
1993,246,summer,doy,ALL
1994,208,summer,doy,ALL
1995,153,summer,doy,ALL
1996,170,summer,doy,ALL
1997,168,summer,doy,ALL
1998,273,summer,doy,ALL
1999,214,summer,doy,ALL
2000,217,summer,doy,ALL
2001,265,summer,doy,ALL
2002,181,summer,doy,ALL
2003,152,summer,doy,ALL
2004,163,summer,doy,ALL
2005,225,summer,doy,ALL
2006,178,summer,doy,ALL
2007,240,summer,doy,ALL
2008,163,summer,doy,ALL
2009,249,summer,doy,ALL
2010,189,summer,doy,ALL
2011,225,summer,doy,ALL
2012,186,summer,doy,ALL
2013,166,summer,doy,ALL
2014,224,summer,doy,ALL
2015,207,summer,doy,ALL
2016,273,summer,doy,ALL
2017,216,summer,doy,ALL